model,dataset,best_train_loss,best_val_accuracy,best_dice,best_iou,final_train_loss,final_accuracy,final_dice,final_iou,samples_used
Basic U-Net,SUN Database,0.04886538939550519,0.9763119506835938,0.8147032165527344,0.6895070314407349,0.04886538939550519,0.9763119506835938,0.8147032165527344,0.6895070314407349,1000
Basic U-Net,LDPolypVideo,0.08889045376330613,0.9670889282226562,0.7882005119323731,0.6637638533115386,0.08889045376330613,0.9651199340820312,0.7882005119323731,0.6637638533115386,1000
Attention U-Net,SUN Database,0.05329118493944406,0.9770840454101563,0.8347019672393798,0.7190122818946838,0.05329118493944406,0.9770840454101563,0.8347019672393798,0.7190122818946838,1000
Attention U-Net,LDPolypVideo,0.10329018499702215,0.9513003540039062,0.7110341048240661,0.570850237607956,0.10329018499702215,0.9309078979492188,0.4470401278138161,0.29890784397721293,1000
U-Net++,SUN Database,0.048519610837101934,0.97787841796875,0.8230441164970398,0.7041264832019806,0.048519610837101934,0.97787841796875,0.8230441164970398,0.7041264832019806,1000
U-Net++,LDPolypVideo,0.08250579141080379,0.973155517578125,0.8241001629829406,0.714156152009964,0.08250579141080379,0.973155517578125,0.8241001629829406,0.714156152009964,1000
DeepLabV3+,SUN Database,0.030609121620655058,0.9847857666015625,0.8876420879364013,0.7996709465980529,0.030609121620655058,0.9847857666015625,0.8876420879364013,0.7996709465980529,1000
DeepLabV3+,LDPolypVideo,0.04959650916978717,0.9776229858398438,0.852454776763916,0.7537881672382355,0.04959650916978717,0.9776229858398438,0.852454776763916,0.7537881672382355,1000
